epoch= 0, acc = 12.010000228881836
upload= 2252892, download = 2275500
epoch= 1, acc = 13.8100004196167
upload= 4505158, download = 4535350
epoch= 2, acc = 18.34000015258789
upload= 6757424, download = 6795200
epoch= 3, acc = 18.65999984741211
upload= 9009640, download = 9055000
epoch= 4, acc = 25.520000457763672
upload= 11261756, download = 11314700
epoch= 5, acc = 29.209999084472656
upload= 13514021, download = 13574525
epoch= 6, acc = 38.20000076293945
upload= 15766237, download = 15834325
epoch= 7, acc = 40.0099983215332
upload= 18018453, download = 18094125
epoch= 8, acc = 47.54999923706055
upload= 20270719, download = 20353975
epoch= 9, acc = 47.7599983215332
upload= 22522885, download = 22613725
epoch= 10, acc = 51.93000030517578
upload= 24775151, download = 24873575
epoch= 11, acc = 51.83000183105469
upload= 27027366, download = 27133350
epoch= 12, acc = 54.029998779296875
upload= 29279632, download = 29393200
epoch= 13, acc = 53.099998474121094
upload= 31531848, download = 31653000
epoch= 14, acc = 54.47999954223633
upload= 33784064, download = 33912800
epoch= 15, acc = 53.27000045776367
upload= 36036280, download = 36172600
epoch= 16, acc = 54.7599983215332
upload= 38288546, download = 38432450
epoch= 17, acc = 52.849998474121094
upload= 40540762, download = 40692250
epoch= 18, acc = 55.29999923706055
upload= 42792977, download = 42952025
epoch= 19, acc = 54.15999984741211
upload= 45045142, download = 45211750
epoch= 20, acc = 56.70000076293945
upload= 47297408, download = 47471600
epoch= 21, acc = 56.15999984741211
upload= 49549574, download = 49731350
epoch= 22, acc = 59.060001373291016
upload= 51801840, download = 51991200
epoch= 23, acc = 59.72999954223633
upload= 54054006, download = 54250950
epoch= 24, acc = 61.31999969482422
upload= 56306222, download = 56510750
epoch= 25, acc = 63.189998626708984
upload= 58558438, download = 58770550
epoch= 26, acc = 63.290000915527344
upload= 60810604, download = 61030300
epoch= 27, acc = 66.01000213623047
upload= 63062869, download = 63290125
epoch= 28, acc = 65.27999877929688
upload= 65315135, download = 65549975
epoch= 29, acc = 68.76000213623047
upload= 67567401, download = 67809825
epoch= 30, acc = 66.80999755859375
upload= 69819667, download = 70069675
epoch= 31, acc = 71.45999908447266
upload= 72071933, download = 72329525
epoch= 32, acc = 70.05999755859375
upload= 74324099, download = 74589275
epoch= 33, acc = 73.94999694824219
upload= 76576314, download = 76849050
epoch= 34, acc = 72.27999877929688
upload= 78828530, download = 79108850
epoch= 35, acc = 75.72000122070312
upload= 81080796, download = 81368700
epoch= 36, acc = 74.44999694824219
upload= 83332962, download = 83628450
epoch= 37, acc = 77.51000213623047
upload= 85585228, download = 85888300
epoch= 38, acc = 76.61000061035156
upload= 87837394, download = 88148050
epoch= 39, acc = 79.19999694824219
upload= 90089560, download = 90407800
epoch= 40, acc = 79.0999984741211
upload= 92341626, download = 92667450
epoch= 41, acc = 79.80999755859375
upload= 94593892, download = 94927300
epoch= 42, acc = 80.55999755859375
upload= 96846158, download = 97187150
epoch= 43, acc = 81.25
upload= 99098274, download = 99446850
epoch= 44, acc = 82.23999786376953
upload= 101350540, download = 101706700
epoch= 45, acc = 82.12999725341797
upload= 103602806, download = 103966550
epoch= 46, acc = 83.19999694824219
upload= 105854872, download = 106226200
epoch= 47, acc = 83.16000366210938
upload= 108107038, download = 108485950
epoch= 48, acc = 84.36000061035156
upload= 110359253, download = 110745725
epoch= 49, acc = 84.52999877929688
upload= 112611519, download = 113005575
epoch= 50, acc = 85.58999633789062
upload= 114863685, download = 115265325
epoch= 51, acc = 84.87999725341797
upload= 117115951, download = 117525175
epoch= 52, acc = 85.58999633789062
upload= 119368067, download = 119784875
epoch= 53, acc = 85.33999633789062
upload= 121620233, download = 122044625
epoch= 54, acc = 86.20999908447266
upload= 123872499, download = 124304475
epoch= 55, acc = 86.04000091552734
upload= 126124765, download = 126564325
epoch= 56, acc = 86.62000274658203
upload= 128376981, download = 128824125
epoch= 57, acc = 86.27999877929688
upload= 130629247, download = 131083975
epoch= 58, acc = 87.0199966430664
upload= 132881463, download = 133343775
epoch= 59, acc = 86.86000061035156
upload= 135133679, download = 135603575
epoch= 60, acc = 87.2699966430664
upload= 137385945, download = 137863425
epoch= 61, acc = 86.9000015258789
upload= 139638161, download = 140123225
epoch= 62, acc = 87.86000061035156
upload= 141890377, download = 142383025
epoch= 63, acc = 87.5999984741211
upload= 144142593, download = 144642825
epoch= 64, acc = 88.30000305175781
upload= 146394859, download = 146902675
epoch= 65, acc = 88.0999984741211
upload= 148647125, download = 149162525
epoch= 66, acc = 88.55999755859375
upload= 150899291, download = 151422275
epoch= 67, acc = 88.3499984741211
upload= 153151456, download = 153682000
epoch= 68, acc = 88.75
upload= 155403621, download = 155941725
epoch= 69, acc = 88.77999877929688
upload= 157655737, download = 158201425
epoch= 70, acc = 89.19000244140625
upload= 159908003, download = 160461275
epoch= 71, acc = 89.08000183105469
upload= 162160219, download = 162721075
epoch= 72, acc = 89.44999694824219
upload= 164412385, download = 164980825
epoch= 73, acc = 89.12000274658203
upload= 166664551, download = 167240575
epoch= 74, acc = 89.4800033569336
upload= 168916767, download = 169500375
epoch= 75, acc = 89.20999908447266
upload= 171168982, download = 171760150
epoch= 76, acc = 89.91999816894531
upload= 173421198, download = 174019950
epoch= 77, acc = 89.58999633789062
upload= 175673464, download = 176279800
epoch= 78, acc = 90.08999633789062
upload= 177925680, download = 178539600
epoch= 79, acc = 89.70999908447266
upload= 180177846, download = 180799350
epoch= 80, acc = 90.2300033569336
upload= 182429962, download = 183059050
epoch= 81, acc = 89.97000122070312
upload= 184682228, download = 185318900
epoch= 82, acc = 90.33999633789062
upload= 186934444, download = 187578700
epoch= 83, acc = 90.30999755859375
upload= 189186610, download = 189838450
epoch= 84, acc = 90.45999908447266
upload= 191438826, download = 192098250
epoch= 85, acc = 90.38999938964844
upload= 193691092, download = 194358100
epoch= 86, acc = 90.5199966430664
upload= 195943208, download = 196617800
epoch= 87, acc = 90.70999908447266
upload= 198195473, download = 198877625
epoch= 88, acc = 90.7300033569336
upload= 200447739, download = 201137475
epoch= 89, acc = 90.7699966430664
upload= 202699955, download = 203397275
epoch= 90, acc = 90.75
upload= 204952220, download = 205657100
epoch= 91, acc = 90.7300033569336
upload= 207204485, download = 207916925
epoch= 92, acc = 91.06999969482422
upload= 209456751, download = 210176775
epoch= 93, acc = 91.16000366210938
upload= 211709017, download = 212436625
epoch= 94, acc = 91.16999816894531
upload= 213961283, download = 214696475
epoch= 95, acc = 91.19000244140625
upload= 216213398, download = 216956150
epoch= 96, acc = 91.19000244140625
upload= 218465663, download = 219215975
epoch= 97, acc = 91.27999877929688
upload= 220717829, download = 221475725
epoch= 98, acc = 91.26000213623047
upload= 222970095, download = 223735575
