epoch= 0, acc = 12.050000190734863
upload= 2252266, download = 2259850
epoch= 1, acc = 12.739999771118164
upload= 4504482, download = 4519650
epoch= 2, acc = 11.279999732971191
upload= 6756398, download = 6779150
epoch= 3, acc = 8.720000267028809
upload= 9008364, download = 9038700
epoch= 4, acc = 11.960000038146973
upload= 11260380, download = 11298300
epoch= 5, acc = 13.329999923706055
upload= 13512345, download = 13557825
epoch= 6, acc = 26.239999771118164
upload= 15764411, download = 15817475
epoch= 7, acc = 21.059999465942383
upload= 18016527, download = 18077175
epoch= 8, acc = 12.020000457763672
upload= 20268443, download = 20336675
epoch= 9, acc = 13.390000343322754
upload= 22520459, download = 22596275
epoch= 10, acc = 26.1200008392334
upload= 24772425, download = 24855825
epoch= 11, acc = 20.920000076293945
upload= 27024590, download = 27115550
epoch= 12, acc = 23.6200008392334
upload= 29276606, download = 29375150
epoch= 13, acc = 24.5
upload= 31528672, download = 31634800
epoch= 14, acc = 25.790000915527344
upload= 33780888, download = 33894600
epoch= 15, acc = 26.790000915527344
upload= 36032954, download = 36154250
epoch= 16, acc = 33.68000030517578
upload= 38284970, download = 38413850
epoch= 17, acc = 36.040000915527344
upload= 40537086, download = 40673550
epoch= 18, acc = 33.720001220703125
upload= 42789301, download = 42933325
epoch= 19, acc = 29.139999389648438
upload= 45041316, download = 45192900
epoch= 20, acc = 28.559999465942383
upload= 47293432, download = 47452600
epoch= 21, acc = 34.7599983215332
upload= 49545498, download = 49712250
epoch= 22, acc = 36.63999938964844
upload= 51797764, download = 51972100
epoch= 23, acc = 35.0099983215332
upload= 54049780, download = 54231700
epoch= 24, acc = 31.850000381469727
upload= 56301846, download = 56491350
epoch= 25, acc = 33.029998779296875
upload= 58553862, download = 58750950
epoch= 26, acc = 33.189998626708984
upload= 60805828, download = 61010500
epoch= 27, acc = 33.34000015258789
upload= 63057793, download = 63270025
epoch= 28, acc = 32.900001525878906
upload= 65309859, download = 65529675
epoch= 29, acc = 38.04999923706055
upload= 67561925, download = 67789325
epoch= 30, acc = 39.189998626708984
upload= 69813841, download = 70048825
epoch= 31, acc = 37.63999938964844
upload= 72065907, download = 72308475
epoch= 32, acc = 39.61000061035156
upload= 74317923, download = 74568075
epoch= 33, acc = 39.630001068115234
upload= 76569988, download = 76827700
epoch= 34, acc = 41.06999969482422
upload= 78821954, download = 79087250
epoch= 35, acc = 39.45000076293945
upload= 81073920, download = 81346800
epoch= 36, acc = 39.43000030517578
upload= 83325986, download = 83606450
epoch= 37, acc = 37.880001068115234
upload= 85577902, download = 85865950
epoch= 38, acc = 35.869998931884766
upload= 87829968, download = 88125600
epoch= 39, acc = 40.400001525878906
upload= 90081934, download = 90385150
epoch= 40, acc = 38.16999816894531
upload= 92334000, download = 92644800
epoch= 41, acc = 38.959999084472656
upload= 94586166, download = 94904550
epoch= 42, acc = 38.18000030517578
upload= 96838282, download = 97164250
epoch= 43, acc = 35.029998779296875
upload= 99090298, download = 99423850
epoch= 44, acc = 35.869998931884766
upload= 101342214, download = 101683350
epoch= 45, acc = 35.22999954223633
upload= 103594280, download = 103943000
epoch= 46, acc = 36.380001068115234
upload= 105846396, download = 106202700
epoch= 47, acc = 36.09000015258789
upload= 108098662, download = 108462550
epoch= 48, acc = 34.209999084472656
upload= 110350827, download = 110722275
epoch= 49, acc = 33.79999923706055
upload= 112602843, download = 112981875
epoch= 50, acc = 34.970001220703125
upload= 114855009, download = 115241625
epoch= 51, acc = 36.15999984741211
upload= 117106925, download = 117501125
epoch= 52, acc = 39.77000045776367
upload= 119358941, download = 119760725
epoch= 53, acc = 39.529998779296875
upload= 121610957, download = 122020325
epoch= 54, acc = 40.09000015258789
upload= 123862973, download = 124279925
epoch= 55, acc = 38.86000061035156
upload= 126114989, download = 126539525
epoch= 56, acc = 41.0
upload= 128367105, download = 128799225
epoch= 57, acc = 41.38999938964844
upload= 130619071, download = 131058775
epoch= 58, acc = 40.47999954223633
upload= 132871087, download = 133318375
epoch= 59, acc = 38.65999984741211
upload= 135123203, download = 135578075
epoch= 60, acc = 41.68000030517578
upload= 137375269, download = 137837725
epoch= 61, acc = 41.349998474121094
upload= 139627335, download = 140097375
epoch= 62, acc = 42.099998474121094
upload= 141879451, download = 142357075
epoch= 63, acc = 39.0
upload= 144131417, download = 144616625
epoch= 64, acc = 40.959999084472656
upload= 146383483, download = 146876275
epoch= 65, acc = 42.65999984741211
upload= 148635549, download = 149135925
epoch= 66, acc = 38.83000183105469
upload= 150887615, download = 151395575
epoch= 67, acc = 38.869998931884766
upload= 153139730, download = 153655250
epoch= 68, acc = 40.529998779296875
upload= 155391645, download = 155914725
epoch= 69, acc = 41.45000076293945
upload= 157643661, download = 158174325
epoch= 70, acc = 39.970001220703125
upload= 159895627, download = 160433875
epoch= 71, acc = 41.459999084472656
upload= 162147743, download = 162693575
epoch= 72, acc = 37.40999984741211
upload= 164399809, download = 164953225
epoch= 73, acc = 38.369998931884766
upload= 166651875, download = 167212875
epoch= 74, acc = 42.90999984741211
upload= 168903941, download = 169472525
epoch= 75, acc = 44.72999954223633
upload= 171156006, download = 171732150
epoch= 76, acc = 44.29999923706055
upload= 173407972, download = 173991700
epoch= 77, acc = 44.65999984741211
upload= 175659938, download = 176251250
epoch= 78, acc = 45.2400016784668
upload= 177911954, download = 178510850
epoch= 79, acc = 44.36000061035156
upload= 180164120, download = 180770600
epoch= 80, acc = 45.15999984741211
upload= 182416136, download = 183030200
epoch= 81, acc = 45.56999969482422
upload= 184668302, download = 185289950
epoch= 82, acc = 44.209999084472656
upload= 186920318, download = 187549550
epoch= 83, acc = 45.22999954223633
upload= 189172334, download = 189809150
epoch= 84, acc = 44.849998474121094
upload= 191424400, download = 192068800
epoch= 85, acc = 43.36000061035156
upload= 193676316, download = 194328300
epoch= 86, acc = 43.5
upload= 195928332, download = 196587900
epoch= 87, acc = 43.880001068115234
upload= 198180247, download = 198847375
epoch= 88, acc = 45.349998474121094
upload= 200432163, download = 201106875
epoch= 89, acc = 46.56999969482422
upload= 202684179, download = 203366475
epoch= 90, acc = 46.68000030517578
upload= 204936194, download = 205626050
epoch= 91, acc = 46.66999816894531
upload= 207188309, download = 207885725
epoch= 92, acc = 47.119998931884766
upload= 209440325, download = 210145325
epoch= 93, acc = 46.369998931884766
upload= 211692391, download = 212404975
epoch= 94, acc = 42.27000045776367
upload= 213944457, download = 214664625
epoch= 95, acc = 40.2599983215332
upload= 216196372, download = 216924100
epoch= 96, acc = 40.4900016784668
upload= 218448537, download = 219183825
epoch= 97, acc = 39.150001525878906
