epoch= 0, acc = 9.760000228881836
upload= 4504515, download = 4534650
epoch= 1, acc = 14.890000343322754
upload= 9009031, download = 9069350
epoch= 2, acc = 15.640000343322754
upload= 13513545, download = 13603950
epoch= 3, acc = 22.530000686645508
upload= 18018060, download = 18138600
epoch= 4, acc = 22.18000030517578
upload= 22522576, download = 22673300
epoch= 5, acc = 28.90999984741211
upload= 27027092, download = 27208000
epoch= 6, acc = 36.470001220703125
upload= 31531608, download = 31742700
epoch= 7, acc = 43.72999954223633
upload= 36036124, download = 36277400
epoch= 8, acc = 44.709999084472656
upload= 40540640, download = 40812100
epoch= 9, acc = 46.08000183105469
upload= 45045156, download = 45346800
epoch= 10, acc = 45.91999816894531
upload= 49549672, download = 49881500
epoch= 11, acc = 44.560001373291016
upload= 54054187, download = 54416150
epoch= 12, acc = 50.56999969482422
upload= 58558702, download = 58950800
epoch= 13, acc = 51.06999969482422
upload= 63063218, download = 63485500
epoch= 14, acc = 50.56999969482422
upload= 67567734, download = 68020200
epoch= 15, acc = 52.119998931884766
upload= 72072250, download = 72554900
epoch= 16, acc = 52.13999938964844
upload= 76576766, download = 77089600
epoch= 17, acc = 55.08000183105469
upload= 81081282, download = 81624300
epoch= 18, acc = 54.86000061035156
upload= 85585798, download = 86159000
epoch= 19, acc = 53.849998474121094
upload= 90090313, download = 90693650
epoch= 20, acc = 55.2400016784668
upload= 94594829, download = 95228350
epoch= 21, acc = 53.02000045776367
upload= 99099345, download = 99763050
epoch= 22, acc = 56.15999984741211
upload= 103603760, download = 104297600
epoch= 23, acc = 60.9900016784668
upload= 108108276, download = 108832300
epoch= 24, acc = 57.54999923706055
upload= 112612792, download = 113367000
epoch= 25, acc = 59.20000076293945
upload= 117117308, download = 117901700
epoch= 26, acc = 57.2599983215332
upload= 121621824, download = 122436400
epoch= 27, acc = 60.13999938964844
upload= 126126340, download = 126971100
epoch= 28, acc = 58.400001525878906
upload= 130630856, download = 131505800
epoch= 29, acc = 58.18000030517578
upload= 135135372, download = 136040500
epoch= 30, acc = 58.70000076293945
upload= 139639888, download = 140575200
epoch= 31, acc = 58.41999816894531
upload= 144144403, download = 145109850
epoch= 32, acc = 61.20000076293945
upload= 148648918, download = 149644500
epoch= 33, acc = 61.68000030517578
upload= 153153432, download = 154179100
epoch= 34, acc = 62.52000045776367
upload= 157657947, download = 158713750
epoch= 35, acc = 64.33999633789062
upload= 162162463, download = 163248450
epoch= 36, acc = 65.66999816894531
upload= 166666979, download = 167783150
epoch= 37, acc = 68.06999969482422
upload= 171171495, download = 172317850
epoch= 38, acc = 68.66999816894531
upload= 175676011, download = 176852550
epoch= 39, acc = 70.2300033569336
upload= 180180526, download = 181387200
epoch= 40, acc = 70.25
upload= 184685042, download = 185921900
epoch= 41, acc = 71.29000091552734
upload= 189189458, download = 190456500
epoch= 42, acc = 70.4800033569336
upload= 193693874, download = 194991100
epoch= 43, acc = 73.0199966430664
upload= 198198390, download = 199525800
epoch= 44, acc = 71.37000274658203
upload= 202702906, download = 204060500
epoch= 45, acc = 72.33999633789062
upload= 207207421, download = 208595150
epoch= 46, acc = 72.58999633789062
upload= 211711936, download = 213129800
epoch= 47, acc = 73.2300033569336
upload= 216216452, download = 217664500
epoch= 48, acc = 73.5999984741211
upload= 220720968, download = 222199200
epoch= 49, acc = 76.58000183105469
upload= 225225484, download = 226733900
epoch= 50, acc = 73.16000366210938
upload= 229730000, download = 231268600
epoch= 51, acc = 75.47000122070312
upload= 234234516, download = 235803300
epoch= 52, acc = 72.94000244140625
upload= 238739031, download = 240337950
epoch= 53, acc = 76.69000244140625
upload= 243243547, download = 244872650
epoch= 54, acc = 74.06999969482422
upload= 247748063, download = 249407350
epoch= 55, acc = 77.11000061035156
upload= 252252579, download = 253942050
epoch= 56, acc = 74.75
upload= 256757095, download = 258476750
epoch= 57, acc = 77.63999938964844
upload= 261261611, download = 263011450
epoch= 58, acc = 75.87999725341797
upload= 265766127, download = 267546150
epoch= 59, acc = 78.69000244140625
upload= 270270643, download = 272080850
epoch= 60, acc = 76.55999755859375
upload= 274775159, download = 276615550
epoch= 61, acc = 79.80000305175781
upload= 279279674, download = 281150200
epoch= 62, acc = 78.2300033569336
upload= 283784190, download = 285684900
epoch= 63, acc = 78.72000122070312
upload= 288288706, download = 290219600
epoch= 64, acc = 78.0
upload= 292793222, download = 294754300
epoch= 65, acc = 79.72000122070312
upload= 297297737, download = 299288950
epoch= 66, acc = 78.44999694824219
upload= 301802253, download = 303823650
epoch= 67, acc = 80.20999908447266
upload= 306306769, download = 308358350
epoch= 68, acc = 78.5199966430664
upload= 310811284, download = 312893000
epoch= 69, acc = 80.0199966430664
upload= 315315800, download = 317427700
epoch= 70, acc = 79.0999984741211
upload= 319820216, download = 321962300
epoch= 71, acc = 80.51000213623047
upload= 324324732, download = 326497000
epoch= 72, acc = 80.38999938964844
upload= 328829248, download = 331031700
epoch= 73, acc = 80.2699966430664
upload= 333333764, download = 335566400
epoch= 74, acc = 81.41000366210938
upload= 337838280, download = 340101100
epoch= 75, acc = 82.05000305175781
upload= 342342796, download = 344635800
epoch= 76, acc = 80.58999633789062
upload= 346847311, download = 349170450
epoch= 77, acc = 81.70999908447266
upload= 351351827, download = 353705150
epoch= 78, acc = 80.30999755859375
upload= 355856342, download = 358239800
epoch= 79, acc = 81.9000015258789
upload= 360360857, download = 362774450
epoch= 80, acc = 80.55999755859375
upload= 364865373, download = 367309150
epoch= 81, acc = 81.9800033569336
upload= 369369889, download = 371843850
epoch= 82, acc = 79.37999725341797
upload= 373874405, download = 376378550
epoch= 83, acc = 82.13999938964844
upload= 378378921, download = 380913250
epoch= 84, acc = 81.66000366210938
upload= 382883437, download = 385447950
epoch= 85, acc = 83.31999969482422
upload= 387387953, download = 389982650
epoch= 86, acc = 81.88999938964844
upload= 391892468, download = 394517300
epoch= 87, acc = 83.18000030517578
upload= 396396884, download = 399051900
epoch= 88, acc = 80.94000244140625
upload= 400901300, download = 403586500
epoch= 89, acc = 83.0
upload= 405405814, download = 408121100
epoch= 90, acc = 81.86000061035156
upload= 409910330, download = 412655800
epoch= 91, acc = 83.62999725341797
upload= 414414846, download = 417190500
epoch= 92, acc = 82.45999908447266
upload= 418919362, download = 421725200
epoch= 93, acc = 83.83000183105469
upload= 423423878, download = 426259900
epoch= 94, acc = 82.33999633789062
upload= 427928394, download = 430794600
epoch= 95, acc = 83.5
upload= 432432910, download = 435329300
epoch= 96, acc = 83.26000213623047
upload= 436937424, download = 439863900
epoch= 97, acc = 84.08999633789062
upload= 441441940, download = 444398600
epoch= 98, acc = 82.52999877929688
upload= 445946456, download = 448933300
epoch= 99, acc = 84.12999725341797
upload= 450450972, download = 453468000
