epoch= 0, acc = 11.609999656677246
upload= 229684215, download = 229714350
epoch= 1, acc = 16.329999923706055
upload= 459358231, download = 459418550
epoch= 2, acc = 20.8700008392334
upload= 689047545, download = 689137950
epoch= 3, acc = 23.18000030517578
upload= 918741960, download = 918862500
epoch= 4, acc = 22.860000610351562
upload= 1148405776, download = 1148556500
epoch= 5, acc = 28.059999465942383
upload= 1378100192, download = 1378281100
epoch= 6, acc = 32.06999969482422
upload= 1607794608, download = 1608005700
epoch= 7, acc = 38.150001525878906
upload= 1837489024, download = 1837730300
epoch= 8, acc = 34.720001220703125
upload= 2067173240, download = 2067444700
epoch= 9, acc = 46.52000045776367
upload= 2296867656, download = 2297169300
epoch= 10, acc = 42.59000015258789
upload= 2526556972, download = 2526888800
epoch= 11, acc = 53.220001220703125
upload= 2756241187, download = 2756603150
epoch= 12, acc = 49.40999984741211
upload= 2985935602, download = 2986327700
epoch= 13, acc = 54.59000015258789
upload= 3215630018, download = 3216052300
epoch= 14, acc = 50.68000030517578
upload= 3445314234, download = 3445766700
epoch= 15, acc = 55.95000076293945
upload= 3675003550, download = 3675486200
epoch= 16, acc = 52.459999084472656
upload= 3904687766, download = 3905200600
epoch= 17, acc = 60.29999923706055
upload= 4134377082, download = 4134920100
epoch= 18, acc = 56.029998779296875
upload= 4364056198, download = 4364629400
epoch= 19, acc = 61.22999954223633
upload= 4593735313, download = 4594338650
epoch= 20, acc = 57.06999969482422
upload= 4823419529, download = 4824053050
epoch= 21, acc = 59.02000045776367
upload= 5053098645, download = 5053762350
epoch= 22, acc = 58.09000015258789
upload= 5282777760, download = 5283471600
epoch= 23, acc = 61.900001525878906
upload= 5512477276, download = 5513201300
epoch= 24, acc = 62.63999938964844
upload= 5742161492, download = 5742915700
epoch= 25, acc = 67.45999908447266
upload= 5971850808, download = 5972635200
epoch= 26, acc = 60.29999923706055
upload= 6201535024, download = 6202349600
epoch= 27, acc = 71.38999938964844
upload= 6431224340, download = 6432069100
epoch= 28, acc = 64.18000030517578
upload= 6660918756, download = 6661793700
epoch= 29, acc = 70.7699966430664
upload= 6890602972, download = 6891508100
epoch= 30, acc = 68.05999755859375
upload= 7120292288, download = 7121227600
